Student_ID,Train_Observed_Count,Candidate_Count,Relevant_Count,Missing_Relevant_Count,Train_Observed_In_Candidates,Candidate_Signature
40511127,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA012|40BA021|40BA022|40BA051|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511129,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA051|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511130,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511131,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA012|40BA021|40BA022|40BA051|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511135,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA012|40BA021|40BA022|40BA051|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511136,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511141,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA012|40BA021|40BA022|40BA051|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511143,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511145,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA012|40BA021|40BA022|40BA051|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511146,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511147,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA051|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511148,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511155,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511159,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA012|40BA021|40BA022|40BA051|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511160,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA052|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511201,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA051|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511202,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA051|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
40511203,1,150,1,0,0,4030261|4040103|404D561|4064243|4064253|4065083|4069203|4069211|4069432|4069582|409A011|409A012|409A013|409A021|409A023|409A032|409D021|409Q072|409Q082|409Q502|409Q522|409Q702|409R181|409R481|409U053|409U163|409U313|409U403|409Z481|409Z491|409Z501|409Z511|40A8161|40B0291|40B0292|40B8932|40B9431|40B9561|40B9572|40B9651|40B9662|40BA011|40BA012|40BA021|40BA022|40BA051|40BA061|40BA062|40BA081|40BA082|40BA091|40BA092|40BA101|40BA102|40BA121|40BA122|40BA131|40BA132|40BA141|40BA142|40BA151|40BA152|40BA221|40BA222|40BC011|40BC021|40BC051|40BC061|40BC071|40BD012|40BD032|40BD052|40BQ021|40BQ031|40BQ051|40BQ141|40BQ171|40BQ311|40BQ321|40BQ331|40BQ341|40BQ371|40BQ381|40BQ391|40BQ401|40BQ421|40BQ512|40BR022|40BR032|40BR042|40BR072|40BR082|40BR122|40BR222|40BR242|40BR322|40BR342|40BR372|40BR472|40IA301|40IN041|40IN051|40IN101|40IN132|40IN532|40IN662|40IN672|40K0051|40K0052|40KA393|40KA513|40KE011|40KN021|40KN151|40KN152|40KN633|40KT142|40MN111|40PC101|40PQ041|40RQ151|40RR072|40UN010|40UN020|40UN050|40UN070|40UN080|40UN110|40UN120|40UN130|40UN160|40WN081|40WN191|430R063|431A241|432N082|432N351|432N442|432N861|433A011|433A012|433A021|433A022|433D012|433N062|433N171|433N262|433Q051|435R021|90B2681
